ind,type,start,bl1,bs1,dir1,dist1,bl2,bs2,dir2,dist2,walk
57085,2,399,L9,1692,1,11213,L2,32,2,3070,1634
57085,2,399,L9,1331,1,8877,L4,32,2,5657,1648
57085,2,399,L9,1329,1,8147,L4,32,2,4389,1151
57085,2,399,L9,313,1,7328,L4,32,2,3713,1451
57085,2,399,L9,311,1,6660,L4,32,2,2840,1463
57085,2,399,L9,58,1,1214,L14,32,2,6511,1779
57085,2,399,L9,18,1,6262,L11,32,2,2724,1309
57085,2,399,L9,311,1,6660,L15,215,2,5738,1087
57085,2,399,L9,18,1,6262,L15,215,2,2637,682
57085,2,399,L9,1691,1,10530,L2,362,2,3227,1446
57085,2,399,L9,1692,1,11213,L2,362,2,2404,1353
57085,2,399,L9,1700,1,16655,L20,376,1,5458,1549
57085,2,399,L21,307,2,9938,L33,506,2,6357,1744
57085,2,399,L21,308,2,10260,L33,506,2,5768,1780
57167,1,58,L9,1693,1,11045,NONE,-1,-1,-1,336
57167,1,58,L9,1694,1,11434,NONE,-1,-1,-1,0
57167,1,58,L9,1695,1,12486,NONE,-1,-1,-1,389
57167,2,57,L10,32,2,7571,L2,347,1,3154,1465
57167,2,57,L13,161,1,9137,L7,1693,2,7196,1222
57167,2,57,L13,162,1,9544,L7,1693,2,5715,1352
57167,2,57,L13,164,1,10012,L7,1693,2,5715,731
57167,2,57,L13,166,1,11343,L7,1693,2,7196,1996
57167,2,57,L13,168,1,11828,L7,1693,2,7597,1410
57167,2,57,L13,145,1,12637,L7,1693,2,8052,804
57167,2,57,L13,169,1,13192,L7,1693,2,8787,710
57167,2,57,L13,171,1,14215,L7,1693,2,9758,908
57167,2,57,L13,161,1,9137,L7,1694,2,7585,886
57167,2,57,L13,162,1,9544,L7,1694,2,6104,1016
57167,2,57,L13,164,1,10012,L7,1694,2,6104,395
57167,2,57,L13,166,1,11343,L7,1694,2,7585,1660
57167,2,57,L13,168,1,11828,L7,1694,2,7986,1074
57167,2,57,L13,145,1,12637,L7,1694,2,8441,468
57167,2,57,L13,169,1,13192,L7,1694,2,9176,374
57167,2,57,L13,171,1,14215,L7,1694,2,10147,572
57167,2,57,L13,161,1,9137,L7,1695,2,8637,1275
57167,2,57,L13,162,1,9544,L7,1695,2,7156,1405
57167,2,57,L13,164,1,10012,L7,1695,2,7156,784
57167,2,57,L13,166,1,11343,L7,1695,2,8637,2049
57167,2,57,L13,168,1,11828,L7,1695,2,9038,1463
57167,2,57,L13,145,1,12637,L7,1695,2,9493,857
57167,2,57,L13,169,1,13192,L7,1695,2,10228,763
57167,2,57,L13,171,1,14215,L7,1695,2,11199,961
57167,2,59,L5,32,2,6536,L2,347,1,3154,1850
57167,2,59,L66,32,2,6536,L2,347,1,3154,1850
57167,2,214,L14,32,2,6511,L2,347,1,3154,1825
57414,1,1653,L9,1693,1,13244,NONE,-1,-1,-1,642
57414,1,1653,L9,1694,1,13633,NONE,-1,-1,-1,306
57414,1,1653,L9,1695,1,14685,NONE,-1,-1,-1,695
57414,2,1653,L6,32,2,9177,L2,347,1,3386,1213
57414,2,1653,L6,385,2,12719,L7,1677,1,3912,1395
57414,2,1653,L6,387,2,13455,L7,1677,1,4470,821
57414,2,1653,L6,363,2,16101,L7,1677,1,1329,953
57414,2,1653,L6,385,2,12719,L7,1678,1,4217,958
57414,2,1653,L6,387,2,13455,L7,1678,1,4775,384
57414,2,1653,L6,363,2,16101,L7,1678,1,1634,516
57414,2,1653,L6,385,2,12719,L7,1679,1,4944,1257
57414,2,1653,L6,387,2,13455,L7,1679,1,5502,683
57414,2,1653,L6,363,2,16101,L7,1679,1,2361,815
57419,1,254,L16,1,2,6656,NONE,-1,-1,-1,1353
57419,1,254,L16,32,2,6656,NONE,-1,-1,-1,1556
57419,1,980,L3,1,2,7850,NONE,-1,-1,-1,529
57419,1,980,L3,32,2,7850,NONE,-1,-1,-1,732
57419,2,254,L23,180,1,1055,L10,1,2,2076,1963
57419,2,254,L23,180,1,1055,L14,1,2,2076,1963
57419,2,254,L23,180,1,1055,L4,1,2,2076,1963
57419,2,254,L23,29,2,4380,L10,1,2,3533,2477
57419,2,254,L23,29,2,4380,L14,1,2,3533,2477
57419,2,254,L23,29,2,4380,L5,1,2,3015,1958
57419,2,254,L23,29,2,4380,L66,1,2,3015,1958
57419,2,254,L30,990,1,3975,L1,1,2,3296,2006
57419,2,254,L30,992,1,8614,L10,1,2,5169,1945
57419,2,254,L30,36,1,6618,L10,1,2,3932,1756
57419,2,254,L30,992,1,8614,L14,1,2,5169,1945
57419,2,254,L30,36,1,6618,L14,1,2,3932,1756
57419,2,254,L30,991,1,5854,L5,1,2,3932,1755
57419,2,254,L30,991,1,5854,L66,1,2,3932,1755
57419,2,254,L30,37,1,7659,L5,1,2,4726,1398
57419,2,254,L30,37,1,7659,L66,1,2,4726,1398
57419,2,254,L23,180,1,1055,L10,32,2,2076,2166
57419,2,254,L23,180,1,1055,L12,32,1,3239,1769
57419,2,254,L23,180,1,1055,L14,32,2,2076,2166
57419,2,254,L23,180,1,1055,L15,32,2,2637,1769
57419,2,254,L23,180,1,1055,L17,32,2,2132,2051
57419,2,254,L23,180,1,1055,L4,32,2,2076,2166
57419,2,254,L23,29,2,4380,L10,32,2,3533,2680
57419,2,254,L23,29,2,4380,L14,32,2,3533,2680
57419,2,254,L23,259,2,2651,L6,32,2,4802,2036
57419,2,254,L23,29,2,4380,L5,32,2,3015,2161
57419,2,254,L23,29,2,4380,L66,32,2,3015,2161
57419,2,254,L30,990,1,3975,L1,32,2,3296,2209
57419,2,254,L30,992,1,8614,L10,32,2,5169,2148
57419,2,254,L30,36,1,6618,L10,32,2,3932,1959
57419,2,254,L30,992,1,8614,L14,32,2,5169,2148
57419,2,254,L30,36,1,6618,L14,32,2,3932,1959
57419,2,254,L30,989,1,2712,L6,32,2,4802,2397
57419,2,254,L30,951,1,5457,L6,32,2,6369,1556
57419,2,254,L30,991,1,5854,L5,32,2,3932,1958
