bl1,bl2,bs1,bs2,dir1,dir2,condist
L13,L441,18,17,1,2,300
L13,L441,13,1576,2,1,233
L13,L441,13,1628,2,2,61
L13,L5,52,741,1,1,127
L13,L5,57,407,1,1,826
L13,L5,52,767,1,2,127
L13,L5,57,463,1,2,1746
L13,L5,17,18,2,1,300
L13,L5,181,410,2,1,356
L13,L5,17,66,2,2,515
L13,L5,181,460,2,2,1112
L13,L6,65,5,1,1,505
L13,L6,65,29,1,2,605
L13,L6,17,18,2,1,300
L13,L6,44,1649,2,1,747
L13,L6,188,188,2,1,0
L13,L6,17,66,2,2,515
L13,L6,36,987,2,2,924
L13,L6,44,1654,2,2,747
L13,L6,188,52,2,2,185
L13,L66,58,1658,1,1,1061
L13,L66,58,1672,1,2,960
L13,L66,17,18,2,1,300
L13,L66,17,66,2,2,515
L13,L7,162,163,1,1,407
L13,L7,162,175,1,2,420
L13,L7,172,171,2,1,247
L13,L7,172,172,2,2,0
L13,L9,58,58,1,1,0
L13,L9,58,41,1,2,0
L13,L9,17,311,2,1,495
L13,L9,44,1654,2,1,747
L13,L9,188,52,2,1,185
L13,L9,17,322,2,2,442
L13,L9,44,1649,2,2,747
L13,L9,188,188,2,2,0
L14,L15,66,18,2,1,215
L14,L15,66,66,2,2,0
L14,L16,65,5,2,1,505
L14,L16,65,29,2,2,605
L14,L17,66,18,2,1,215
L14,L17,66,66,2,2,0
L14,L18,18,18,1,1,0
L14,L18,18,180,1,2,395
L14,L18,63,310,2,1,364
L14,L18,63,323,2,2,347
L14,L19,18,18,1,1,0
L14,L19,63,336,2,1,264
L14,L19,1,2,2,1,257
L14,L19,1,1,2,2,0
L14,L2,1,338,2,1,401
L14,L2,32,361,2,2,645
L14,L20,1,376,2,1,628
L14,L20,1,380,2,2,614
L14,L21,194,395,1,1,95
L14,L21,204,393,1,1,347
L14,L21,194,402,1,2,158
L14,L21,204,403,1,2,347
L14,L21,208,402,2,2,288
L14,L22,18,180,1,1,395
L14,L22,18,180,1,2,395
L14,L22,214,40,2,1,289
L14,L22,214,59,2,2,367
L14,L23,18,180,1,1,395
L14,L23,18,180,1,2,395
L14,L23,65,5,2,1,505
L14,L23,65,29,2,2,605
L14,L24,1,506,2,1,529
L14,L24,1,506,2,2,529
L14,L25,1,506,2,1,529
L14,L25,1,506,2,2,529
L14,L26,18,619,1,1,220
L14,L26,18,619,1,2,220
L14,L26,66,619,2,1,435
L14,L26,66,619,2,2,435
L14,L261,18,619,1,1,220
L14,L261,18,619,1,2,220
L14,L261,66,619,2,1,435
L14,L261,66,619,2,2,435
L14,L262,18,619,1,1,220
L14,L262,18,619,1,2,220
L14,L262,66,619,2,1,435
L14,L262,66,619,2,2,435
L14,L27,18,180,1,1,395
L14,L27,18,180,1,2,395
L14,L27,214,40,2,1,289
L14,L27,214,59,2,2,367
L14,L28,18,771,1,1,74
L14,L28,18,771,1,2,74
L14,L28,66,771,2,1,289
L14,L28,66,771,2,2,289
L14,L3,36,987,1,2,924
L14,L3,65,5,2,1,505
L14,L3,65,29,2,2,605
L14,L30,35,991,1,1,332
L14,L30,35,991,1,2,332
L14,L30,61,992,2,1,592
L14,L30,61,995,2,2,592
L14,L33,1,506,2,1,529
L14,L33,1,506,2,2,529
L14,L35,1,506,2,1,529
L14,L35,1,506,2,2,529
L14,L36,18,619,1,1,220
L14,L36,18,619,1,2,220
L14,L36,66,619,2,1,435
L14,L36,66,619,2,2,435
L14,L38,18,18,1,1,0
L14,L38,18,18,1,2,0
L14,L38,66,18,2,1,215
L14,L38,66,18,2,2,215
L14,L4,66,18,2,1,215
L14,L4,66,66,2,2,0
L14,L43,18,18,1,1,0
L14,L43,18,18,1,2,0
L14,L43,214,40,2,1,289
L14,L43,214,59,2,2,367
L14,L44,18,1508,1,1,261
L14,L44,18,17,1,2,300
L14,L44,66,1508,2,1,476
L14,L44,66,17,2,2,515
L14,L441,18,1508,1,1,261
L14,L441,18,17,1,2,300
L14,L441,66,1508,2,1,476
L14,L441,66,17,2,2,515
L14,L45,1,506,2,1,529
L14,L45,1,506,2,2,529
L14,L5,214,40,2,1,289
L14,L5,214,59,2,2,367
L14,L6,36,987,1,2,924
L14,L6,65,5,2,1,505
L14,L6,65,29,2,2,605
L14,L66,205,192,1,1,859
L14,L66,205,211,1,2,823
L14,L9,18,18,1,1,0
L14,L9,18,180,1,2,395
L14,L9,214,59,2,1,367
L14,L9,214,40,2,2,289
L14,251,1,506,2,1,529
L14,251,1,506,2,2,529
L15,L16,66,18,2,1,215
L15,L16,66,66,2,2,0
L15,L17,66,18,2,1,215
L15,L17,16,297,2,2,814
L15,L17,17,297,2,2,401
L15,L18,18,18,1,1,0
L15,L18,18,180,1,2,395
L15,L18,19,321,1,2,626
L15,L18,16,311,2,1,705
L15,L18,66,18,2,1,215
L15,L18,16,322,2,2,734
L15,L18,17,180,2,2,213
L15,L19,66,18,2,1,215
L15,L19,215,2,2,1,303
L15,L19,215,1,2,2,45
L15,L2,32,338,2,1,444
L15,L2,32,361,2,2,645
L15,L20,215,376,2,1,582
L15,L20,215,380,2,2,568
L15,L22,18,180,1,1,395
L15,L22,18,180,1,2,395
L15,L22,17,180,2,1,213
L15,L22,17,180,2,2,213
L15,L23,18,180,1,1,395
L15,L23,18,180,1,2,395
L15,L23,17,180,2,1,213
L15,L23,17,180,2,2,213
L15,L24,215,506,2,1,483
L15,L24,215,506,2,2,483
L15,L25,215,506,2,1,483
L15,L25,215,506,2,2,483
L15,L26,18,619,1,1,220
L15,L26,18,619,1,2,220
L15,L26,16,619,2,1,590
L15,L26,17,619,2,1,176
L15,L26,16,619,2,2,590
L15,L26,17,619,2,2,176
L15,L261,18,619,1,1,220
L15,L261,18,619,1,2,220
L15,L261,16,619,2,1,590
L15,L261,17,619,2,1,176
L15,L261,16,619,2,2,590
L15,L261,17,619,2,2,176
L15,L262,18,619,1,1,220
L15,L262,18,619,1,2,220
L15,L262,16,619,2,1,590
L15,L262,17,619,2,1,176
L15,L262,16,619,2,2,590
L15,L262,17,619,2,2,176
L15,L27,18,180,1,1,395
L15,L27,18,180,1,2,395
L15,L27,17,180,2,1,213
L15,L27,17,180,2,2,213
L15,L28,18,771,1,1,74
L15,L28,18,771,1,2,74
L15,L28,17,771,2,1,226
L15,L28,17,771,2,2,226
L15,L3,66,18,2,1,215
L15,L3,66,66,2,2,0
L15,L33,215,506,2,1,483
L15,L33,215,506,2,2,483
L15,L35,215,506,2,1,483
L15,L35,215,506,2,2,483
L15,L36,18,619,1,1,220
L15,L36,18,619,1,2,220
L15,L36,19,321,1,2,626
